city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Luwu,70.39,8.15,55.89,70.19,12.78
Tana Toraja,68.25,8.02,69.32,73.15,12.35
Luwu Utara,69.46,7.78,38.92,68.31,13.60
Luwu Timur,72.80,8.54,50.76,70.38,6.98
Toraja Utara,69.23,7.92,62.58,73.35,12.41
Kota Makasar,82.25,11.20,78.32,72.00,4.28
Kota Parepare,77.62,10.30,73.86,71.18,5.26
Kota Palopo,77.98,10.75,77.53,70.79,7.82
Buton,65.67,7.51,64.49,67.92,13.65
Muna,68.97,8.35,65.49,70.18,12.85
Konawe,71.29,9.14,78.41,70.02,12.34
Kolaka,73.01,8.76,63.98,70.72,11.92
Konawe Selatan,67.88,7.74,70.02,70.52,10.81
Bombana,65.65,7.74,58.11,68.54,10.56
Wakatobi,68.99,7.73,79.01,70.13,14.75
Kolaka Utara,68.91,7.86,67.30,70.15,13.19
Buton Utara,67.68,8.75,76.46,70.75,14.38
Konawe Utara,69.22,8.97,69.52,69.23,13.66
Kolaka Timur,66.49,7.35,80.33,72.33,13.71
Konawe Kepulauan,65.05,9.18,51.17,68.25,17.18
Muna Barat,64.45,6.77,50.64,70.16,13.84
Buton Tengah,64.06,7.29,80.20,67.50,15.77
Buton Selatan,64.37,7.32,74.66,67.50,14.66
Kota Kendari,82.86,11.94,79.76,73.52,4.44
Kota Baubau,75.21,10.37,72.28,70.95,7.27
Boalemo,65.53,6.54,68.53,68.83,18.87
Gorontalo,66.69,7.11,62.91,67.45,18.06
Pohuwato,65.27,7.10,68.74,63.83,18.16
Bone Bolango,69.63,8.07,51.91,68.38,16.12
Gorontalo Utara,64.52,6.74,76.61,65.79,16.95
Kota Gorontalo,77.08,10.35,75.33,72.42,5.45
Majene,66.59,8.52,75.30,61.30,13.72
Polewali Mandar,63.74,7.40,72.21,62.18,15.60
Mamasa,65.32,7.37,60.28,70.75,13.42
Mamuju,67.72,7.69,58.96,67.23,7.06
Mamuju Utara,67.27,7.92,50.46,65.91,4.28
Mamuju Tengah,65.10,7.24,65.86,68.06,6.87
Maluku Tenggara Barat,62.86,9.55,73.32,63.34,27.25
Maluku Tenggara,65.85,9.50,69.08,64.95,22.75
Maluku Tengah,71.25,9.64,63.23,66.34,20.04
Buru,68.91,8.46,56.39,66.32,16.74
Kepulauan Aru,63.64,8.71,62.70,62.73,26.73
Seram Bagian Barat,65.49,8.86,54.26,61.48,25.16
Seram Bagian Timur,63.74,8.22,52.79,59.16,23.13
Maluku Barat Daya,61.55,8.14,55.85,62.16,29.43
Buru Selatan,64.42,7.70,55.87,66.13,16.13
